node1,node2
agency,measure
take,stern
take,measure
stern,measure
make,gesture
make,appreciation
make,welcome
make,apparent
gesture,appreciation
gesture,welcome
gesture,apparent
gesture,restraint
appreciation,welcome
appreciation,apparent
appreciation,restraint
appreciation,conduct
welcome,apparent
welcome,restraint
welcome,conduct
welcome,new
welcome,weapon
apparent,restraint
apparent,conduct
apparent,new
apparent,weapon
apparent,test
restraint,conduct
restraint,new
restraint,weapon
restraint,test
restraint,since
conduct,new
conduct,weapon
conduct,test
conduct,since
conduct,latest
new,weapon
new,test
new,since
new,latest
weapon,test
weapon,since
weapon,latest
weapon,sanction
test,since
test,latest
test,sanction
test,adopt
since,latest
since,sanction
since,adopt
latest,sanction
latest,adopt
sanction,adopt
sanction,hope
sanction,beginning
adopt,hope
adopt,beginning
adopt,signal
hope,beginning
hope,signal
hope,look
beginning,signal
beginning,look
beginning,say
signal,look
signal,say
signal,news
look,say
look,news
look,conference
look,otherwise
say,news
say,conference
say,otherwise
say,focus
news,conference
news,otherwise
news,focus
news,ready
conference,otherwise
conference,focus
conference,ready
conference,restrain
otherwise,focus
otherwise,ready
otherwise,restrain
otherwise,level
focus,ready
focus,restrain
focus,level
focus,tension
ready,restrain
ready,level
ready,tension
ready,ready
restrain,level
restrain,tension
restrain,ready
restrain,restrain
level,tension
level,ready
level,restrain
level,provocative
tension,ready
tension,restrain
tension,provocative
tension,act
ready,restrain
ready,provocative
ready,act
ready,perhaps
ready,see
restrain,provocative
restrain,act
restrain,perhaps
restrain,see
restrain,pathway
provocative,act
provocative,perhaps
provocative,see
provocative,pathway
provocative,sometime
act,perhaps
act,see
act,pathway
act,sometime
act,near
perhaps,see
perhaps,pathway
perhaps,sometime
perhaps,near
perhaps,future
see,pathway
see,sometime
see,near
see,future
see,dialogue
pathway,sometime
pathway,near
pathway,future
pathway,dialogue
sometime,near
sometime,future
sometime,dialogue
sometime,main
near,future
near,dialogue
near,main
near,weapon
future,dialogue
future,main
future,weapon
future,choice
dialogue,main
dialogue,weapon
dialogue,choice
main,weapon
main,choice
main,grow
weapon,choice
weapon,grow
weapon,increasingly
choice,grow
choice,increasingly
choice,alarm
grow,increasingly
grow,alarm
increasingly,alarm
increasingly,technological
alarm,technological
alarm,progress
technological,progress
technological,develop
technolo
suedelike,headliner
suedelike,driver
black,headliner
black,driver
black,assistance
headliner,driver
headliner,assistance
headliner,package
driver,assistance
driver,package
driver,adaptive
driver,cruise
assistance,package
assistance,adaptive
assistance,cruise
assistance,automate
package,adaptive
package,cruise
package,automate
package,minder
adaptive,cruise
adaptive,automate
adaptive,minder
adaptive,horsepower
adaptive,though
cruise,automate
cruise,minder
cruise,horsepower
cruise,though
automate,minder
automate,horsepower
automate,though
minder,horsepower
minder,though
minder,pony
horsepower,though
horsepower,pony
horsepower,unleash
though,pony
though,unleash
pony,unleash
pony,dynamic
pony,mode
unleash,dynamic
unleash,mode
unleash,throw
dynamic,mode
dynamic,throw
dynamic,back
dynamic,seat
dynamic,tickled
mode,throw
mode,back
mode,seat
mode,tickled
mode,one
throw,back
throw,seat
throw,tickled
throw,one
throw,grade
back,seat
back,tickled
back,one
back,grade
back,school
seat,tickled
seat,one
seat,grade
seat,school
seat,passenger
tickled,one
tickled,grade
tickled,school
tickled,passenger
tickled,let
one,grade
one,school
one,passenger
one,let
one,throttle
grade,school
grade,passenger
grade,let
grade,throttle
grade,twin
school,passenger
school,let
school,throttle
school,twin
school,exhaust
passenger,let
passenger,throttle
passenger,twin
passenger,exhaust
passenger,pop
let,throttle
let,twin
let,exhaust
let,pop
let,car
throttle,twin
throttle,exhaust
throttle,pop
throttle,car
throttle,just
twin,exhaust
twin,pop
twin,car
twin,just
twin,plane
exhaust,pop
exhaust,car
exhaust,just
exhaust,plane
exhaust,existence
pop,car
pop,just
pop,plane
pop,existence
pop,land
car,just
car,plane
car,existence
car,land
car,speed
just,plane
just,existence
just,land
just,speed
plane,existence
plane,land
plane,speed
plane,quick
existence,land
existence,speed
existence,quick
existence,torque
land,speed
land,quick
land,torque
land,come
speed,quick
speed,torque
speed,come
speed,just
quick,torque
quick,come
quick,just
quick,rpm
torque,come
torque,just
torque,rpm
torque,surprising
come,just
come,rpm
come,surprising
come,thing
just,rpm
just,surprising
just,thing
just,smooth
rpm,surprising
rpm,thing
rpm,smooth
rpm,quiet
rpm,cabin
surprising,thing
surprising,smooth
surprising,quiet
surprising,cabin
surprising,heavy
thing,smooth
thing,quiet
thing,cabin
thing,heavy
thing,load
smooth,quiet
smooth,cabin
smooth,heavy
smooth,load
smooth,road
quiet,cabin
quiet,heavy
quiet,load
quiet,road
quiet,manners
cabin,heavy
cabin,load
cabin,road
cabin,manners
cabin,excellent
heavy,load
heavy,road
heavy,manners
heavy,excellent
heavy,balance
load,road
load,manners
load,excellent
load,balance
load,open
road,manners
road,excellent
road,balance
road,open
road,throttle
manners,excellent
manners,balance
manners,open
manners,throttle
manners,terror
excellent,balance
excellent,open
excellent,throttle
excellent,terror
excellent,sleek
balance,open
balance,throttle
balance,terror
balance,sleek
balance,highway
open,throttle
open,terror
open,sleek
open,highway
open,cruiser
throttle,terror
throttle,sleek
throttle,highway
throttle,cruiser
throttle,fall
terror,sleek
terror,highway
terror,cruiser
terror,fall
terror,love
sleek,highway
sleek,cruiser
sleek,fall
sleek,love
highway,cruiser
highway,fall
highway,love
cruiser,fall
cruiser,love
cruiser,first
fall,love
fall,first
fall,time
love,first
love,time
love,around
first,time
first,around
first,launch
first,model
first,year
time,around
time,launch
time,model
time,year
around,launch
around,model
around,year
around,performance
launch,model
launch,year
launch,performance
launch,car
model,year
model,performance
model,car
model,refine
year,performance
year,car
year,refine
year,enough
performance,car
performance,refine
performance,enough
performance,big
car,refine
car,enough
car,big
car,enough
refine,enough
refine,big
refine,enough
enough,big
enough,enough
enough,drop
big,enough
big,drop
big,kid
big,school
enough,drop
enough,kid
enough,school
enough,without
drop,kid
drop,school
drop,without
drop,rousing
drop,pta
kid,school
kid,without
kid,rousing
kid,pta
kid,stink
school,without
school,rousing
school,pta
school,stink
school,eye
without,rousing
without,pta
without,stink
without,eye
rousing,pta
rousing,stink
rousing,eye
pta,stink
pta,eye
pta,performance
stink,eye
stink,performance
stink,feel
eye,performance
eye,feel
performance,feel
performance,believe
performance,luxury
performance,performance
feel,believe
feel,luxury
feel,performance
feel,shopper
believe,luxury
believe,performance
believe,shopper
believe,beyond
believe,common
luxury,performance
luxury,shopper
luxury,beyond
luxury,common
luxury,sense
performance,shopper
performance,beyond
performance,common
performance,sense
shopper,beyond
shopper,common
shopper,sense
shopper,percent
beyond,common
beyond,sense
beyond,percent
beyond,premium
common,sense
common,percent
common,premium
common,come
sense,percent
sense,premium
sense,come
sense,marginal
percent,premium
percent,come
percent,marginal
percent,performance
percent,gain
premium,come
premium,marginal
premium,performance
premium,gain
premium,cosmetic
come,marginal
come,performance
come,gain
come,cosmetic
come,upgrade
marginal,performance
marginal,gain
marginal,cosmetic
marginal,upgrade
marginal,already
performance,gain
performance,cosmetic
performance,upgrade
performance,already
performance,gorgeous
gain,cosmetic
gain,upgrade
gain,already
gain,gorgeous
gain,capable
cosmetic,upgrade
cosmetic,already
cosmetic,gorgeous
cosmetic,capable
cosmetic,performance
upgrade,already
upgrade,gorgeous
upgrade,capable
upgrade,performance
upgrade,sedan
already,gorgeous
already,capable
already,performance
already,sedan
gorgeous,capable
gorgeous,performance
gorgeous,sedan
gorgeous,chump
capable,performance
capable,sedan
capable,chump
capable,change
performance,sedan
performance,chump
performance,change
performance,chump
sedan,chump
sedan,change
sedan,chump
chump,change
chump,chump
chump,change
chump,rduffer@chicagotribune.com
change,chump
change,change
change,rduffer@chicagotribune.com
chump,change
chump,rduffer@chicagotribune.com
change,rduffer@chicagotribune.com
performance,glance
performance,vehicle
performance,type
performance,full
performance,size
glance,vehicle
glance,type
glance,full
glance,size
glance,performance
vehicle,type
vehicle,full
vehicle,size
vehicle,performance
vehicle,sedan
type,full
type,size
type,performance
type,sedan
type,base
full,size
full,performance
full,sedan
full,base
full,price
size,performance
size,sedan
size,base
size,price
performance,sedan
performance,base
performance,price
performance,test
sedan,base
sedan,price
sedan,test
base,price
base,test
base,exclude
price,test
price,exclude
test,exclude
test,delivery
exclude,delivery
delivery,city
city,highway
city,engine
city,liter
highway,engine
highway,liter
highway,twin
highway,turbo
engine,liter
engine,twin
engine,turbo
liter,twin
liter,turbo
liter,make
twin,turbo
twin,make
turbo,make
turbo,horsepower
make,horsepower
make,pound
make,foot
horsepower,pound
horsepower,foot
horsepower,torque
horsepower,transmission
pound,foot
pound,torque
pound,transmission
pound,speed
foot,torque
foot,transmission
foot,speed
foot,automatic
torque,transmission
torque,speed
torque,automatic
torque,wheel
transmission,speed
transmission,automatic
transmission,wheel
transmission,parting
speed,automatic
speed,wheel
speed,parting
speed,shot
speed,upgrade
automatic,wheel
automatic,parting
automatic,shot
automatic,upgrade
automatic,n’t
wheel,parting
wheel,shot
wheel,upgrade
wheel,n’t
wheel,worth
parting,shot
parting,upgrade
parting,n’t
parting,worth
parting,premium
shot,upgrade
shot,n’t
shot,worth
shot,premium
upgrade,n’t
upgrade,worth
upgrade,premium
n’t,worth
n’t,premium
worth,premium
hour,read
hour,serious
hour,speech
hour,teleprompter
hour,commit
read,serious
read,speech
read,teleprompter
read,commit
read,send
serious,speech
serious,teleprompter
serious,commit
serious,send
serious,young
speech,teleprompter
speech,commit
speech,send
speech,young
speech,man
teleprompter,commit
teleprompter,send
teleprompter,young
teleprompter,man
teleprompter,woman
commit,send
commit,young
commit,man
commit,woman
commit,fight
send,young
sew
band,singular
band,voice
band,forefront
now,singular
now,voice
now,forefront
now,bring
singular,voice
singular,forefront
singular,bring
singular,innovative
voice,forefront
voice,bring
voice,innovative
voice,sound
forefront,bring
forefront,innovative
forefront,sound
forefront,back
bring,innovative
bring,sound
bring,back
bring,hit
innovative,sound
innovative,back
innovative,hit
sound,back
sound,hit
back,hit
ticket,lh-st.com
ticket,fake
lh-st.com,fake
lh-st.com,limb
fake,limb
fake,empty
fake,bottle
limb,empty
limb,bottle
empty,bottle
one,angriest
one,loudest
one,band
one,become
angriest,loudest
angriest,band
angriest,become
angriest,empty
loudest,band
loudest,become
loudest,empty
loudest,bottle
band,become
band,empty
band,bottle
band,mainstay
become,empty
become,bottle
become,mainstay
become,commemorate
empty,bottle
empty,mainstay
empty,commemorate
empty,show
bottle,mainstay
bottle,commemorate
bottle,show
bottle,venue
mainstay,commemorate
mainstay,show
mainstay,venue
commemorate,show
commemorate,venue
commemorate,fake
show,venue
show,fake
show,limb
venue,fake
venue,limb
venue,latest
fake,limb
fake,latest
fake,act
fake,auditory
limb,latest
limb,act
limb,auditory
limb,aggression
latest,act
latest,auditory
latest,aggression
latest,come
latest,release
act,auditory
act,aggression
act,come
act,release
act,excellent
auditory,aggression
auditory,come
auditory,release
auditory,excellent
auditory,third
aggression,come
aggression,release
aggression,excellent
aggression,third
aggression,album
come,release
come,excellent
come,third
come,album
release,excellent
release,third
release,album
excellent,third
excellent,album
third,album
doom,rock
doom,outfit
doom,local
rock,outfit
rock,local
rock,punk
outfit,local
outfit,punk
outfit,trio
local,punk
local,trio
local,will
local,contribute
punk,trio
punk,will
punk,contribute
punk,melodic
trio,will
trio,contribute
trio,melodic
trio,delirium
will,contribute
will,melodic
will,delirium
will,yearning
will,slam
contribute,melodic
contribute,delirium
contribute,yearning
contribute,slam
contribute,body
melodic,delirium
melodic,yearning
melodic,slam
melodic,body
melodic,bang
delirium,yearning
delirium,slam
delirium,body
delirium,bang
delirium,head
yearning,slam
yearning,body
yearning,bang
yearning,head
yearning,weeknight
slam,body
slam,bang
slam,head
slam,weeknight
slam,look
body,bang
body,head
body,weeknight
body,look
bang,head
bang,weeknight
bang,look
head,weeknight
head,look
weeknight,look
weeknight,ticket
look,ticket
look,emptybottle.com
ticket,emptybottle.com
ticket,redeye
ticket,freelancer
emptybottle.com,redeye
emptybottle.com,freelancer
emptybottle.com,look
redeye,freelancer
redeye,look
freelancer,look
panel,member
panel,resign
panel,since
panel,directly
member,resign
member,since
member,directly
member,indirectly
resign,since
resign,directly
resign,indirectly
resign,cite
since,directly
since,indirectly
since,cite
directly,indirectly
directly,cite
directly,response
indirectly,cite
indirectly,response
indirectly,violence
cite,response
cite,violence
response,violence
response,weekend
violence,weekend
weekend,sign
weekend,free
sign,free
sign,video
sign,newsletter
sign,panel
free,video
free,newsletter
free,panel
free,member
video,newsletter
video,panel
video,member
video,resign
newsletter,panel
newsletter,member
newsletter,resign
newsletter,since
panel,member
panel,resign
panel,since
panel,directly
member,resign
member,since
member,directly
member,indirectly
resign,since
resign,directly
resign,indirectly
resign,cite
since,directly
since,indirectly
since,cite
directly,indirectly
directly,cite
directly,response
indirectly,cite
indirectly,response
indirectly,violence
cite,response
cite,violence
response,violence
response,weekend
violence,weekend
weekend,sign
weekend,free
sign,free
sign,video
sign,newsletter
sign,business
free,video
free,newsletter
free,business
free,executive
video,newsletter
video,business
video,executive
video,fume
newsletter,business
newsletter,executive
newsletter,fume
newsletter,grouse
business,executive
business,fume
business,grouse
business,eight
business,year
executive,fume
executive,grouse
executive,eight
executive,year
fume,grouse
fume,eight
fume,year
grouse,eight
grouse,year
eight,year
year,former
former,community
former,organizer
former,never
former,meet
former,payroll
community,organizer
community,never
community,meet
community,payroll
community,corporate
organizer,never
organizer,meet
organizer,payroll
organizer,corporate
organizer,boardroom
never,meet
never,payroll
never,corporate
never,boardroom
never,think
meet,payroll
meet,corporate
meet,boardroom
meet,think
meet,friend
payroll,corporate
payroll,boardroom
payroll,think
payroll,friend
payroll,free
corporate,boardroom
corporate,think
corporate,friend
corporate,free
corporate,enterprise
boardroom,think
boardroom,friend
boardroom,free
boardroom,enterprise
think,friend
think,free
think,enterprise
friend,free
friend,enterprise
free,enterprise
free,real
enterprise,real
enterprise,estate
real,estate
real,media
real,tycoon
estate,media
estate,tycoon
estate,say
media,tycoon
media,say
tycoon,say
say,demonization
say,business
demonization,business
demonization,discourage
demonization,investment
demonization,sap
business,discourage
business,investment
business,sap
business,job
discourage,investment
discourage,sap
discourage,job
discourage,growth
investment,sap
investment,job
investment,growth
sap,job
sap,growth
job,growth
federal,prosecutor
federal,tell
federal,juror
prosecutor,tell
prosecutor,juror
tell,juror
abuse,elect
abuse,position
abuse,solicit
abuse,bribe
abuse,tow
elect,position
elect,solicit
elect,bribe
elect,tow
elect,operator
position,solicit
position,bribe
position,tow
position,operator
position,defense
solicit,bribe
solicit,tow
solicit,operator
solicit,defense
solicit,attorney
bribe,tow
bribe,operator
bribe,defense
bribe,attorney
bribe,counter
tow,operator
tow,defense
tow,attorney
tow,counter
operator,defense
operator,attorney
operator,counter
operator,pay
defense,attorney
defense,counter
defense,pay
defense,informant
attorney,counter
attorney,pay
attorney,informant
attorney,make
counter,pay
counter,informant
counter,make
counter,crime
pay,informant
pay,make
pay,crime
pay,happen
pay,attorney
informant,make
informant,crime
informant,happen
informant,attorney
make,crime
make,happen
make,attorney
make,government
crime,happen
crime,attorney
crime,government
crime,make
happen,attorney
happen,government
happen,make
happen,close
attorney,government
attorney,make
attorney,close
attorney,argument
government,make
government,close
government,argument
government,sheriff
make,close
make,argument
make,sheriff
make,public
close,argument
close,sheriff
close,public
close,corruption
argument,sheriff
argument,public
argument,corruption
argument,case
sheriff,public
sheriff,corruption
sheriff,case
public,corruption
public,case
public,day
corruption,case
corruption,day
corruption,testimony
case,day
case,testimony
day,testimony
day,begin
day,deliberation
day,shortly
testimony,begin
testimony,deliberation
testimony,shortly
begin,deliberation
begin,shortly
deliberation,shortly
say,hear
say,recording
say,want
say,get
hear,recording
hear,want
hear,get
hear,back
recording,want
recording,get
recording,back
recording,invest
want,get
want,back
want,invest
want,campaign
get,back
get,invest
get,campaign
get,evidence
back,invest
back,campaign
back,evidence
back,show
back,seek
invest,campaign
invest,evidence
invest,show
invest,seek
invest,recover
campaign,evidence
campaign,show
campaign,seek
campaign,recover
campaign,money
evidence,show
evidence,seek
evidence,recover
evidence,money
evidence,tow
show,seek
show,recover
show,money
show,tow
show,operator
seek,recover
seek,money
seek,tow
seek,operator
seek,now
recover,money
recover,tow
recover,operator
recover,now
recover,know
money,tow
money,operator
money,now
money,know
money,absolutely
tow,operator
tow,now
tow,know
tow,absolutely
tow,serious
operator,now
operator,know
operator,absolutely
operator,serious
operator,get
now,know
now,absolutely
now,serious
now,get
now,money
know,absolutely
know,serious
know,get
know,money
know,back
absolutely,serious
absolutely,get
absolutely,money
absolutely,back
absolutely,see
serious,gerena
confirm,work
confirm,serve
unanimous,arena
unanimous,work
unanimous,serve
unanimous,well
unanimous,say
arena,work
arena,serve
arena,well
arena,say
work,serve
work,well
work,say
serve,well
serve,say
well,say
graduate,law
graduate,degree
law,degree
degree,earn
earn,bachelor
earn,degree
earn,science
bachelor,degree
bachelor,science
degree,science
science,one
one,three
one,new
one,department
one,head
one,appoint
three,new
three,department
three,head
three,appoint
new,department
new,head
new,appoint
new,confirm
department,head
department,appoint
department,confirm
department,week
head,appoint
head,confirm
head,week
appoint,confirm
appoint,week
confirm,week
confirm,corporation
confirm,counsel
week,corporation
week,counsel
corporation,counsel
corporation,head
counsel,head
counsel,alderman
head,alderman
head,also
head,confirm
alderman,also
alderman,confirm
alderman,director
also,confirm
also,director
confirm,director
director,director
director,city
director,engineer
city,engineer
city,also
city,intend
city,bring
engineer,also
engineer,intend
engineer,bring
engineer,forward
also,intend
also,bring
also,forward
intend,bring
intend,forward
bring,forward
director,new
director,alderman
director,delay
alderman,delay
alderman,vote
alderman,new
alderman,reorganization
alderman,plan
delay,vote
delay,new
delay,reorganization
delay,plan
delay,put
vote,new
vote,reorganization
vote,plan
vote,put
vote,forward
new,reorganization
new,plan
new,put
new,forward
reorganization,plan
reorganization,put
reorganization,forward
reorganization,staff
plan,put
plan,forward
plan,staff
plan,also
put,forward
put,staff
put,also
put,hold
forward,staff
forward,also
forward,hold
forward,confirm
staff,also
staff,hold
staff,confirm
staff,appointment
staff,technically
also,hold
also,confirm
also,appointment
also,technically
also,position
hold,confirm
hold,appointment
hold,technically
hold,position
hold,exist
confirm,appointment
confirm,technically
confirm,position
confirm,exist
confirm,yet
appointment,technically
appointment,position
appointment,exist
appointment,yet
appointment,alderman
technically,position
technically,exist
technically,yet
technically,alderman
technically,already
position,exist
position,yet
position,alderman
position,already
position,approve
exist,yet
exist,alderman
exist,already
exist,approve
yet,alderman
yet,already
yet,approve
alderman,already
alderman,approve
already,approve
already,mayor
approve,mayor
mayor,office
mayor,job
mayor,will
mayor,change
office,job
office,will
office,change
office,become
office,department
job,will
job,change
job,become
job,department
job,head
will,change
will,become
will,department
will,head
will,reorganization
change,become
change,department
change,head
change,reorganization
change,plan
become,department
become,head
become,reorganization
become,plan
become,adopt
department,head
department,reorganization
department,plan
department,adopt
head,reorganization
head,plan
head,adopt
head,replace
reorganization,plan
reorganization,adopt
reorganization,replace
reorganization,retire
plan,adopt
plan,replace
plan,retire
adopt,replace
adopt,retire
replace,retire
replace,top
replace,development
retire,top
retire,development
retire,official
top,development
top,official
top,department
development,official
development,department
development,combination
official,department
official,combination
official,development
department,combination
department,development
department,relate
department,office
department,include
combination,development
combination,relate
combination,office
combination,include
combination,building
development,relate
development,office
development,include
development,building
development,permit
relate,office
relate,include
relate,building
relate,permit
relate,neighborhood
office,include
office,building
office,permit
office,neighborhood
office,service
include,building
include,permit
include,neighborhood
include,service
include,exist
building,permit
building,neighborhood
building,service
building,exist
building,yet
permit,neighborhood
permit,service
permit,exist
permit,yet
neighborhood,service
neighborhood,exist
neighborhood,yet
neighborhood,question
service,exist
service,yet
service,question
exist,yet
exist,question
exist,political
yet,question
yet,political
yet,ambition
question,political
question,ambition
question,include
question,intend
political,ambition
political,include
political,intend
political,run
political,office
ambition,include
ambition,intend
ambition,run
ambition,office
include,intend
include,run
include,office
intend,run
intend,office
run,office
note,consider
note,run
note,federal
note,office
consider,run
consider,federal
consider,office
run,federal
run,office
run,father
federal,office
federal,father
federal,mayor
office,father
office,mayor
father,mayor
father,look
father,continuity
mayor,look
mayor,continuity
look,continuity
look,build
look,something
look,future
continuity,build
continuity,something
continuity,future
build,something
build,future
build,say
build,future
something,future
something,say
something,future
something,aspiration
future,say
future,future
future,aspiration
say,future
say,aspiration
say,think
future,aspiration
future,think
future,compatible
aspiration,think
aspiration,compatible
aspiration,work
think,compatible
think,work
think,tell
compatible,work
compatible,tell
compatible,agree
work,tell
work,agree
work,job
tell,agree
tell,job
tell,incompatible
agree,job
agree,incompatible
agree,want
job,incompatible
job,want
incompatible,want
want,say
want,slord@tribpub.com
say,slord@tribpub.com
get,idea
get,n’t
get,ready
idea,n’t
idea,ready
idea,full
n’t,ready
n’t,full
n’t,playbook
n’t,include
ready,full
ready,playbook
ready,include
ready,get
full,playbook
full,include
full,get
playbook,include
playbook,get
playbook,bad
playbook,playcall
include,get
include,bad
include,playcall
include,read
get,bad
get,playcall
get,read
get,defense
bad,playcall
bad,read
bad,defense
bad,n’t
playcall,read
playcall,defense
playcall,n’t
playcall,want
read,defense
read,n’t
read,want
read,see
defense,n’t
defense,want
defense,see
n’t,want
n’t,see
n’t,run
want,see
want,run
want,whatever
see,run
see,whatever
see,part
run,whatever
run,part
run,playbook
run,allegedly
whatever,part
whatever,playbook
whatever,allegedly
whatever,ready
part,playbook
part,allegedly
part,ready
part,appear
playbook,allegedly
playbook,ready
playbook,appear
allegedly,ready
allegedly,appear
allegedly,much
allegedly,scream
ready,appear
ready,much
ready,scream
ready,success
appear,much
appear,scream
appear,success
much,scream
much,success
much,absolutely
much,nothing
scream,success
scream,absolutely
scream,nothing
scream,scream
success,absolutely
success,nothing
success,scream
success,excitement
absolutely,nothing
absolutely,scream
absolutely,excitement
absolutely,just
absolutely,sort
nothing,scream
nothing,excitement
nothing,just
nothing,sort
nothing,scream
scream,excitement
scream,just
scream,sort
scream,scream
excitement,just
excitement,sort
excitement,scream
excitement,sign
just,sort
just,scream
just,sign
just,guy
sort,scream
sort,sign
sort,guy
scream,sign
scream,guy
sign,guy
sign,want
sign,offer
guy,want
guy,offer
guy,idea
want,offer
want,idea
want,mitigate
offer,idea
offer,mitigate
offer,inexperience
idea,mitigate
idea,inexperience
idea,issue
mitigate,inexperience
mitigate,issue
mitigate,take
inexperience,issue
inexperience,take
inexperience,advantage
inexperience,athleticism
inexperience,strong
issue,take
issue,advantage
issue,athleticism
issue,strong
issue,arm
take,advantage
take,athleticism
take,strong
take,arm
take,player
advantage,athleticism
advantage,strong
advantage,arm
advantage,player
athleticism,strong
athleticism,arm
athleticism,player
athleticism,trade
strong,arm
strong,player
strong,trade
strong,draft
arm,player
arm,trade
arm,draft
arm,run
player,trade
player,draft
player,run
player,hurry
trade,draft
trade,run
trade,hurry
trade,offense
trade,just
draft,run
draft,hurry
draft,offense
draft,just
draft,last
run,hurry
run,offense
run,just
run,last
run,two
hurry,offense
hurry,just
hurry,last
hurry,two
hurry,minute
offense,just
offense,last
offense,two
offense,minute
offense,half
just,last
just,two
just,minute
just,half
juark
tell,size
tell,crowd
truth,remark
truth,size
truth,crowd
truth,every
remark,size
remark,crowd
remark,every
remark,reason
size,crowd
size,every
size,reason
size,doubt
crowd,every
crowd,reason
crowd,doubt
crowd,virtually
every,reason
every,doubt
every,virtually
every,everything
every,come
reason,doubt
reason,virtually
reason,everything
reason,come
reason,mouth
doubt,virtually
doubt,everything
doubt,come
doubt,mouth
virtually,everything
virtually,come
virtually,mouth
virtually,either
everything,come
everything,mouth
everything,either
everything,stubbornly
come,mouth
come,either
come,stubbornly
come,ignorant
mouth,either
mouth,stubbornly
mouth,ignorant
mouth,claim
either,stubbornly
either,ignorant
either,claim
stubbornly,ignorant
stubbornly,claim
stubbornly,great
ignorant,claim
ignorant,great
ignorant,harm
claim,great
claim,harm
claim,country
great,harm
great,country
great,deliberately
great,mislead
great,mostly
harm,country
harm,deliberately
harm,mislead
harm,mostly
harm,however
country,deliberately
country,mislead
country,mostly
country,however
country,vengeful
deliberately,mislead
deliberately,mostly
deliberately,however
deliberately,vengeful
deliberately,irrational
mislead,mostly
mislead,however
mislead,vengeful
mislead,irrational
mislead,horrid
mostly,however
mostly,vengeful
mostly,irrational
mostly,horrid
mostly,combination
however,vengeful
however,irrational
however,horrid
however,combination
however,commander
vengeful,irrational
vengeful,horrid
vengeful,combination
vengeful,commander
vengeful,chief
irrational,horrid
irrational,combination
irrational,commander
irrational,chief
irrational,see
horrid,combination
horrid,commander
horrid,chief
horrid,see
combination,commander
combination,chief
combination,see
combination,work
commander,chief
commander,see
commander,work
commander,enable
chief,see
chief,work
chief,enable
chief,defend
see,work
see,enable
see,defend
see,rationalize
work,enable
work,defend
work,rationalize
work,president
enable,defend
enable,rationalize
enable,president
enable,conduct
defend,rationalize
defend,president
defend,conduct
defend,rhetoric
rationalize,president
rationalize,conduct
rationalize,rhetoric
rationalize,pretend
president,conduct
president,rhetoric
president,pretend
president,normal
conduct,rhetoric
conduct,pretend
conduct,normal
conduct,behavior
conduct,encourage
rhetoric,pretend
rhetoric,normal
rhetoric,behavior
rhetoric,encourage
rhetoric,lie
pretend,normal
pretend,behavior
pretend,encourage
pretend,lie
pretend,word
normal,behavior
normal,encourage
normal,lie
normal,word
behavior,encourage
behavior,lie
behavior,word
encourage,lie
encourage,word
lie,word
word,gaslight
gaslight,country
gaslight,insist
gaslight,say
country,insist
country,say
country,hear
insist,say
insist,hear
insist,say
say,hear
say,say
say,bring
say,scary
say,point
hear,say
hear,bring
hear,scary
hear,point
hear,certain
say,bring
say,scary
say,point
say,certain
say,president
bring,scary
bring,point
bring,certain
bring,president
bring,mentally
scary,point
scary,certain
scary,president
scary,mentally
scary,well
point,certain
point,president
point,mentally
point,well
point,see
certain,president
certain,mentally
certain,well
certain,see
president,mentally
president,well
president,see
president,incapable
mentally,well
mentally,see
mentally,incapable
mentally,unite
well,see
well,incapable
well,unite
well,country
see,incapable
see,unite
see,country
see,give
incapable,unite
incapable,country
incapable,give
incapable,shout
unite,country
unite,give
unite,shout
country,give
country,shout
country,fire
give,shout
give,fire
shout,fire
shout,tweet
fire,tweet
fire,salute
fire,accuse
tweet,salute
tweet,accuse
tweet,media
tweet,try
salute,accuse
salute,media
salute,try
salute,take
salute,away
accuse,media
accuse,try
accuse,take
accuse,away
accuse,crowd
media,try
media,take
media,away
media,crowd
try,take
try,away
try,crowd
try,heritage
take,away
take,crowd
take,heritage
take,mean
away,crowd
away,heritage
away,mean
away,white
crowd,heritage
crowd,mean
crowd,white
heritage,mean
heritage,white
heritage,venerate
heritage,confederacy
mean,white
mean,venerate
mean,confederacy
mean,embrace
white,venerate
white,confederacy
white,embrace
white,notorious
venerate,confederacy
venerate,embrace
venerate,notorious
venerate,bigot
venerate,racial
confederacy,embrace
confederacy,notorious
confederacy,bigot
confederacy,racial
confederacy,profiler
embrace,notorious
embrace,bigot
embrace,racial
embrace,profiler
notorious,bigot
notorious,racial
notorious,profiler
bigot,racial
bigot,profiler
racial,profiler
racial,smear
profiler,smear
profiler,immigrant
smear,immigrant
smear,speak
smear,heart
smear,see
smear,hollow
immigrant,speak
immigrant,heart
immigrant,see
immigrant,hollow
immigrant,man
speak,heart
speak,see
speak,hollow
speak,man
speak,whose
heart,see
heart,hollow
heart,man
heart,whose
heart,bile
see,hollow
see,man
see,whose
see,bile
see,dog
hollow,man
hollow,whose
hollow,bile
hollow,dog
hollow,whistle
man,whose
man,bile
man,dog
man,whistle
man,call
whose,bile
whose,dog
whose,whistle
whose,call
whose,local
bile,dog
bile,whistle
bile,call
bile,local
bile,official
dog,whistle
dog,call
dog,local
dog,official
dog,take
whistle,call
whistle,local
whistle,official
whistle,take
whistle,offensive
call,local
call,official
call,take
